cons_id,COUNT(cons_action_id)
171055,1
171064,1
171478,1
171686,1
172541,1
172566,1
172887,1
174545,1
174674,1
176876,1
178091,1
178376,1
179912,1
181084,1
181123,1
181414,1
181935,1
182054,1
182477,1
183668,1
185639,1
186105,1
186574,1
187229,1
188478,1
189222,1
189395,1
189570,1
189981,1
191892,1
192954,1
194259,1
194617,1
199225,1
200742,1
200754,1
201469,1
205310,1
206608,1
207417,1
210999,1
211591,1
212106,1
212844,1
212937,1
213206,1
213267,1
213420,1
215388,1
217276,1
217728,1
218176,1
218582,1
218626,1
218692,1
218792,1
219383,1
220047,1
220281,1
220626,1
221554,1
221875,1
223031,1
223061,1
227228,1
228267,1
228362,1
228519,1
229178,1
229446,1
230592,1
230897,1
230987,1
234663,1
234888,1
235327,1
236921,1
238369,1
238852,1
238896,1
239325,1
239538,1
239650,1
239903,1
241953,1
242104,1
242310,1
242983,1
243162,1
243641,1
244012,1
244205,1
244489,1
248084,1
248324,1
249947,1
250550,1
251190,1
252328,1
252569,1
253648,1
253660,1
255569,1
256100,1
257382,1
257915,1
258415,1
259052,1
259292,1
260761,1
260762,1
262830,1
263418,1
263491,1
263921,1
263944,1
264666,1
267300,1
270589,1
270664,1
270962,1
272129,1
272636,1
273115,1
273126,1
273217,1
273835,1
276274,1
277397,1
280937,1
282176,1
283303,1
283349,1
283466,1
284409,1
285418,1
285781,1
286533,1
287062,1
289551,1
289727,1
289889,1
290668,1
290932,1
291104,1
291157,1
291500,1
291689,1
291866,1
295205,1
298808,1
298943,1
299359,1
300555,1
301166,1
301478,1
302715,1
303057,1
303224,1
303519,1
303759,1
304954,1
305163,1
305325,1
307241,1
307400,1
308472,1
310387,1
310685,1
310691,1
313975,1
315419,1
316172,1
316602,1
317189,1
320110,1
320176,1
322080,1
322207,1
322225,1
322551,1
324546,1
326575,1
326858,1
326914,1
327246,1
327857,1
328108,1
330937,1
331236,1
333812,1
334364,1
335415,1
335882,1
337272,1
337625,1
338414,1
339803,1
340723,1
340939,1
341002,1
341662,1
341796,1
343212,1
344259,1
345043,1
345154,1
346366,1
346962,1
348454,1
349338,1
349973,1
350410,1
351000,1
351166,1
351770,1
352522,1
353560,1
353628,1
353691,1
355919,1
357025,1
357385,1
357743,1
358025,1
359590,1
359708,1
361524,1
362100,1
363443,1
363523,1
364025,1
365972,1
367378,1
368811,1
370106,1
371639,1
372950,1
373491,1
373639,1
374193,1
374596,1
376156,1
376501,1
377111,1
377424,1
377445,1
379079,1
379785,1
383366,1
385632,1
388055,1
388631,1
388807,1
388925,1
389019,1
389275,1
392356,1
392441,1
392824,1
392826,1
392864,1
393191,1
393297,1
393935,1
395270,1
395473,1
397386,1
397399,1
397761,1
397939,1
398673,1
398734,1
400753,1
401867,1
402342,1
402406,1
403986,1
404181,1
404365,1
404421,1
405815,1
406567,1
406581,1
406626,1
408633,1
409438,1
409500,1
409684,1
409777,1
409811,1
410844,1
411303,1
411941,1
414477,1
415668,1
415951,1
416220,1
416524,1
416811,1
417943,1
418071,1
418588,1
420255,1
420562,1
421657,1
423727,1
423822,1
424310,1
424479,1
425053,1
426507,1
426960,1
427476,1
427884,1
429037,1
429893,1
430421,1
432183,1
432542,1
432711,1
433577,1
434178,1
434434,1
434542,1
434607,1
438751,1
439166,1
439323,1
439706,1
442274,1
443384,1
443576,1
443863,1
444965,1
444974,1
445870,1
446658,1
447707,1
447911,1
449544,1
450304,1
451000,1
452005,1
452507,1
452733,1
452760,1
454537,1
455065,1
455706,1
455783,1
456074,1
456942,1
457140,1
457496,1
457594,1
458529,1
458661,1
460250,1
460708,1
462044,1
462850,1
463077,1
463852,1
464168,1
464179,1
464310,1
464473,1
465759,1
465910,1
466677,1
467783,1
469010,1
469424,1
470267,1
472000,1
472400,1
472564,1
473774,1
474790,1
475415,1
475550,1
475629,1
475827,1
476576,1
477205,1
477493,1
477769,1
478046,1
478125,1
478649,1
479409,1
479508,1
481071,1
481970,1
482337,1
483977,1
484056,1
484868,1
485455,1
487903,1
490449,1
490853,1
490930,1
491083,1
492459,1
492571,1
493037,1
493456,1
493678,1
494506,1
496514,1
497111,1
497785,1
497836,1
498333,1
499139,1
